Code	Name	Purchase Price	Tax	Retail Price	Category Code
A403	Công t?c Phanh tay	0	0	80000	15
A404	Công t?c Pha c?t	0	0	80000	15
A405	Bi banh   	0	0	80000	17
A406	Công t?c Phanh tay	0	0	80000	18
A407	Công t?c Pha c?t	0	0	80000	18
A408	Công t?c ?èn	0	0	80000	18
A409	S?m 275-17	0	0	80000	19
A410	S?m -14	0	0	80000	19
A411	Ép bi?n	0	0	80000	19
A412	Công t?c Phanh tay	0	0	80000	20
A413	Công t?c Pha c?t	0	0	80000	20
A414	Công t?c Phanh tay	0	0	80000	21
A415	Công t?c Phanh ??a	0	0	80000	21
A416	Công t?c Pha c?t	0	0	80000	21
A417	Công t?c ??	0	0	80000	21
A418	Công t?c ?èn	0	0	80000	21
A419	Công t?c Phanh tay	0	0	80000	22
A420	Công t?c Pha c?t	0	0	80000	22
A421	Bóng h?u ( 1 qu?)	0	0	80000	25
A422	Công t?c Phanh tay	0	0	80000	27
A423	Công t?c Pha c?t	0	0	80000	27
A424	Công t?c Phanh tay	0	0	80000	28
A425	Công t?c Pha c?t	0	0	80000	28
A426	Công t?c ?èn	0	0	80000	28
A427	Công t?c Phanh tay	0	0	80000	29
A428	Bi banh   	0	0	80000	30
A429	Bi banh   	0	0	80000	31
A430	Công t?c Phanh tay	0	0	80000	32
A431	Công t?c Pha c?t	0	0	80000	32
A432	Công t?c Phanh tay	0	0	80000	34
A433	Bóng xin nhan	0	0	80000	34
A434	Công t?c Phanh tay	0	0	80000	35
A435	Công t?c Pha c?t	0	0	80000	35
A436	Công t?c ?èn	0	0	80000	35
A437	Bi banh   	0	0	80000	36
A438	Công t?c Phanh tay	0	0	80000	37
A439	Công t?c Pha c?t	0	0	80000	37
A440	?óng ca bi	0	0	80000	38
A441	Bi banh   	0	0	80000	38
A442	Gi?m gi?t bánh sau	0	0	85000	8
A443	Gi?m gi?t bánh sau	0	0	85000	9
A444	Gi?m gi?t bánh sau	0	0	85000	14
A445	Gi?m gi?t bánh sau	0	0	85000	17
A446	Công t? met	0	0	85000	22
A447	Gi?m gi?t bánh sau	0	0	85000	30
A448	Gi?m gi?t bánh sau	0	0	85000	31
A449	Gi?m gi?t bánh sau	0	0	85000	36
A450	Má ??a	0	0	85000	38
A451	L?c gió	0	0	85000	38
A452	Chân van??ng	0	0	90000	1
A453	Chân van??ng	0	0	90000	2
A454	Chân van??ng	0	0	90000	10
A455	Chân van??ng	0	0	90000	15
A456	Chân van??ng	0	0	90000	18
A457	Thay c? bô XS ng?n	0	0	90000	19
A458	S?m -16	0	0	90000	19
A459	Chân van??ng	0	0	90000	20
A460	Chân van??ng	0	0	90000	21
A461	Chân van??ng	0	0	90000	22
A462	Chân van??ng	0	0	90000	25
A463	Chân van??ng	0	0	90000	27
A464	Chân van??ng	0	0	90000	28
A465	Chân van??ng	0	0	90000	29
A466	Chân van??ng	0	0	90000	32
A467	Chân van??ng	0	0	90000	34
A468	Bóng h?u ( 1 qu?)	0	0	90000	34
A469	Chân van??ng	0	0	90000	35
A470	Chân van??ng	0	0	90000	37
A471	Má phanh ??a 	0	0	95000	1
A472	Dây cong-to-met Th??ng	0	0	95000	1
A473	Dây cong-to-met Th??ng	0	0	95000	2
A474	Buzzi	0	0	95000	2
A475	Sâu công t? mét	0	0	95000	4
A476	Sâu công t? mét	0	0	95000	5
A477	?? chân sau	0	0	95000	5
A478	Dây cong-to-met Th??ng	0	0	95000	10
A479	Buzzi	0	0	95000	10
A480	Má ??a	0	0	95000	12
A481	Má ??a	0	0	95000	13
A482	Láng bát côn	0	0	95000	13
A483	L?c gió	0	0	95000	14
A484	Má phanh ??a 	0	0	95000	15
A485	L?c gió	0	0	95000	17
A486	Dây cong-to-met Th??ng	0	0	95000	18
A487	Dây cong-to-met Th??ng	0	0	95000	20
A488	Buzzi	0	0	95000	20
A489	Dây cong-to-met Th??ng	0	0	95000	21
A490	Buzzi	0	0	95000	21
A491	Dây cong-to-met Th??ng	0	0	95000	22
A492	Buzzi	0	0	95000	22
A493	Dây cong-to-met Th??ng	0	0	95000	28
A494	L?c gió	0	0	95000	30
A495	L?c gió	0	0	95000	31
A496	Dây cong-to-met Th??ng	0	0	95000	32
A497	Buzzi	0	0	95000	32
A498	Má phanh ??a 	0	0	95000	35
A499	Bi 300 ( ?ôi)	0	0	110000	19
A500	Bi 201 ( ?ôi)	0	0	110000	19
A501	Bi 200 (?ôi)	0	0	110000	19
A502	Bi  301 (?ôi)	0	0	110000	19
A503	L?c gió	0	0	115000	1
A504	L?c gió	0	0	115000	2
A505	Má phanh ??a 	0	0	115000	3
A506	L?c gió	0	0	115000	3
A507	L?c gió	0	0	115000	8
A508	L?c gió	0	0	115000	9
A509	L?c gió	0	0	115000	10
A510	L?c gió	0	0	115000	18
A511	L?c gió	0	0	115000	20
A512	L?c gió	0	0	115000	22
A513	L?c gió	0	0	115000	28
A514	L?c gió	0	0	115000	34
A515	L?c gió	0	0	115000	35
A516	Sâu công t? mét	0	0	115000	36
A517	Tay phanh c?	0	0	120000	1
A518	Ph?t tr?c lap	0	0	120000	1
A519	Công t?c Xin nhan	0	0	120000	1
A520	Công t?c Phanh ??a	0	0	120000	1
A521	Buzzi	0	0	120000	1
A522	 R? le xi nhan	0	0	120000	1
A523	Tay phanh ??a	0	0	120000	2
A524	Tay phanh c?	0	0	120000	2
A525	Ph?t tr?c lap	0	0	120000	2
A526	Ph?t tr?c lap	0	0	120000	2
A527	Công t?c Xin nhan	0	0	120000	2
A528	Công t?c Phanh ??a	0	0	120000	2
A529	Công t?c ??	0	0	120000	2
A530	Công t?c ?èn	0	0	120000	2
A531	 R? le xi nhan	0	0	120000	2
A532	Tay phanh c?	0	0	120000	3
A533	Ph?t tr?c lap	0	0	120000	3
A534	Ph?t tr?c lap	0	0	120000	3
A535	Buzzi	0	0	120000	3
A536	 R? le xi nhan	0	0	120000	3
A537	S?n dè	0	0	120000	5
A538	?ôi n?p xin nhan	0	0	120000	5
A539	Bóng ?èn pha	0	0	120000	6
A540	Bóng ?èn pha	0	0	120000	8
A541	Bóng ?èn pha	0	0	120000	9
A542	Tay phanh ??a	0	0	120000	10
A543	Tay phanh c?	0	0	120000	10
A544	Ph?t tr?c lap	0	0	120000	10
A545	Ph?t tr?c lap	0	0	120000	10
A546	Công t?c Xin nhan	0	0	120000	10
A547	Công t?c Phanh ??a	0	0	120000	10
A548	Công t?c ??	0	0	120000	10
A549	Công t?c ?èn	0	0	120000	10
A550	 R? le xi nhan	0	0	120000	10
A551	B? ph?t máy	0	0	120000	13
A552	Bóng ?èn pha	0	0	120000	13
A553	Tay phanh ??a	0	0	120000	15
A554	Tay phanh c?	0	0	120000	15
A555	Ph?t tr?c lap	0	0	120000	15
A556	Ph?t tr?c lap	0	0	120000	15
A557	Công t?c Xin nhan	0	0	120000	15
A558	Công t?c Phanh ??a	0	0	120000	15
A559	Công t?c ??	0	0	120000	15
A560	Công t?c ?èn	0	0	120000	15
A561	Buzzi	0	0	120000	15
A562	 R? le xi nhan	0	0	120000	15
A563	Bóng ?èn pha	0	0	120000	17
A564	Ph?t tr?c lap	0	0	120000	18
A565	Mài cam cò	0	0	120000	18
A566	Công t?c Xin nhan	0	0	120000	18
A567	Công t?c Phanh ??a	0	0	120000	18
A568	Công t?c ??	0	0	120000	18
A569	Buzzi	0	0	120000	18
A570	?c pittong	0	0	120000	18
A571	Thay c? bô XS dài	0	0	120000	19
A572	Phot gi?m sóc XS	0	0	120000	19
A573	L?c d?u to	0	0	120000	19
A574	D?u máy 1 lít	0	0	120000	19
A575	Buzzi CD	0	0	120000	19
A576	Tay phanh ??a	0	0	120000	20
A577	Tay phanh c?	0	0	120000	20
A578	R? le xi nhan	0	0	120000	20
A579	Ph?t tr?c lap	0	0	120000	20
A580	Công t?c Xin nhan	0	0	120000	20
A581	Công t?c Phanh ??a	0	0	120000	20
A582	Công t?c ??	0	0	120000	20
A583	Công t?c ?èn	0	0	120000	20
A584	Tay phanh c?	0	0	120000	21
A585	Ph?t tr?c lap	0	0	120000	21
A586	Ph?t tr?c lap	0	0	120000	21
A587	Công t?c Xin nhan	0	0	120000	21
A588	 R? le xi nhan	0	0	120000	21
A589	Tay phanh ??a	0	0	120000	22
A590	Tay phanh c?	0	0	120000	22
A591	R? le xi nhan	0	0	120000	22
A592	Ph?t tr?c lap	0	0	120000	22
A593	Ph?t tr?c lap	0	0	120000	22
A594	Ph?t tr?c lap	0	0	120000	22
A595	Công t?c Xin nhan	0	0	120000	22
A596	Công t?c Phanh ??a	0	0	120000	22
A597	Công t?c ??	0	0	120000	22
A598	Công t?c ?èn	0	0	120000	22
A599	Già vét b? xe	0	0	120000	23
A600	Tay phanh ??a	0	0	120000	24
A601	Tay phanh c?	0	0	120000	24
A602	Ph?t tr?c lap	0	0	120000	24
A603	Ph?t tr?c lap	0	0	120000	24
A604	 R? le xi nhan	0	0	120000	24
A605	R? le b?m x?ng	0	0	120000	25
A606	Mài cam cò	0	0	120000	25
A607	Dây cong-to-met Th??ng	0	0	120000	25
A608	Công t?c Phanh tay	0	0	120000	25
A609	Công t?c Phanh ??a	0	0	120000	25
A610	Tay phanh ??a	0	0	120000	27
A611	Tay phanh c?	0	0	120000	27
A612	Ph?t tr?c lap	0	0	120000	27
A613	Ph?t tr?c lap	0	0	120000	27
A614	Công t?c Xin nhan	0	0	120000	27
A615	Công t?c Phanh ??a	0	0	120000	27
A616	Công t?c ??	0	0	120000	27
A617	Công t?c ?èn	0	0	120000	27
A618	Buzzi	0	0	120000	27
A619	 R? le xi nhan	0	0	120000	27
A620	Tay phanh c?	0	0	120000	28
A621	Ph?t tr?c lap	0	0	120000	28
A622	Ph?t tr?c lap	0	0	120000	28
A623	Công t?c Xin nhan	0	0	120000	28
A624	Công t?c Phanh ??a	0	0	120000	28
A625	Công t?c ??	0	0	120000	28
A626	Buzzi	0	0	120000	28
A627	 R? le xi nhan	0	0	120000	28
A628	Doong láp	0	0	120000	29
A629	Dây cong-to-met Th??ng	0	0	120000	29
A630	Công t?c Phanh ??a	0	0	120000	29
A631	Bóng ?èn pha	0	0	120000	31
