Code,Name,Purchase Price,Tax,Retail Price,Category Code
A355,Dây công tơ mét,0,0,65000,17
A356,Săm 225/250-17,0,0,65000,19
A357,Dây phanh,0,0,65000,30
A358,Dây Ga,0,0,65000,30
A359,Dây công tơ mét,0,0,65000,30
A360,Dây công tơ mét,0,0,65000,31
A361,Má cơ,0,0,65000,38
A362,Dây phanh,0,0,65000,38
A363,Dây Ga,0,0,65000,38
A364,Dây công tơ mét,0,0,65000,38
A365,Bánh tỳ trung gian,0,0,70000,13
A366,Bóng hậu ( 1 quả),0,0,70000,29
A367,Giảm giật bánh sau,0,0,75000,4
A368,Tay phanh ,0,0,75000,5
A369,Giảm giật bánh sau,0,0,75000,5
A370,Để chân trước,0,0,75000,5
A371,Chổi Than,0,0,75000,5
A372,Bát bi đề,0,0,75000,5
A373,Dây công tơ mét,0,0,75000,8
A374,Dây công tơ mét,0,0,75000,9
A375,Giảm giật bánh sau,0,0,75000,11
A376,Giảm giật bánh sau,0,0,75000,12
A377,Giảm giật bánh sau,0,0,75000,13
A378,Giảm giật bánh sau,0,0,75000,13
A379,Má đĩa,0,0,75000,17
A380,Tay phanh,0,0,75000,30
A381,Má đĩa,0,0,75000,30
A382,Má đĩa,0,0,75000,31
A383,Dây công tơ mét,0,0,75000,36
A384,Giảm giật bánh sau,0,0,75000,38
A385,Công tắc Phanh tay,0,0,80000,1
A386,Công tắc Pha cốt,0,0,80000,1
A387,Công tắc Đèn,0,0,80000,1
A388,Công tắc Phanh tay,0,0,80000,2
A389,Công tắc Pha cốt,0,0,80000,2
A390,Bi banh   ,0,0,80000,4
A391,Bi banh   ,0,0,80000,5
A392,Bi banh   ,0,0,80000,6
A393,Bi banh   ,0,0,80000,8
A394,Bi nhông 6004 ,0,0,80000,9
A395,Bi banh   ,0,0,80000,9
A396,Công tắc Phanh tay,0,0,80000,10
A397,Công tắc Pha cốt,0,0,80000,10
A398,Bi banh   ,0,0,80000,11
A399,Bi banh   ,0,0,80000,12
A400,Phot git,0,0,80000,13
A401,Bi banh   ,0,0,80000,13
A402,Bi banh   ,0,0,80000,14
A403,Công tắc Phanh tay,0,0,80000,15
A404,Công tắc Pha cốt,0,0,80000,15
A405,Bi banh   ,0,0,80000,17
A406,Công tắc Phanh tay,0,0,80000,18
A407,Công tắc Pha cốt,0,0,80000,18
A408,Công tắc Đèn,0,0,80000,18
A409,Săm 275-17,0,0,80000,19
A410,Săm -14,0,0,80000,19
A411,Ép biển,0,0,80000,19
A412,Công tắc Phanh tay,0,0,80000,20
A413,Công tắc Pha cốt,0,0,80000,20
A414,Công tắc Phanh tay,0,0,80000,21
A415,Công tắc Phanh đĩa,0,0,80000,21
A416,Công tắc Pha cốt,0,0,80000,21
A417,Công tắc Đề,0,0,80000,21
A418,Công tắc Đèn,0,0,80000,21
A419,Công tắc Phanh tay,0,0,80000,22
